iter	Passed	Remaining
0	1	188
1	4	203
2	6	203
3	8	203
4	11	219
5	14	234
6	18	239
7	21	243
8	24	244
9	27	245
10	30	247
11	34	249
12	37	251
13	41	252
14	44	251
15	47	250
16	50	247
17	53	245
18	57	244
19	60	241
20	63	239
21	66	234
22	69	232
23	73	232
24	76	229
25	79	225
26	82	222
27	85	219
28	89	218
29	92	214
30	94	211
31	97	206
32	100	203
33	103	200
34	105	196
35	109	194
36	112	191
37	114	187
38	117	184
39	120	181
40	123	177
41	124	172
42	128	169
43	131	166
44	133	163
45	136	160
46	139	157
47	142	154
48	145	151
49	148	148
50	151	145
51	154	142
52	157	139
53	159	135
54	161	131
55	164	129
56	167	126
57	170	123
58	172	120
59	175	116
60	178	113
61	180	110
62	184	108
63	186	105
64	188	101
65	191	98
66	195	96
67	197	93
68	200	90
69	203	87
70	205	84
71	208	81
72	210	77
73	213	74
74	215	71
75	217	68
76	220	65
77	222	62
78	225	59
79	228	57
80	230	54
81	232	51
82	235	48
83	237	45
84	241	42
85	243	39
86	245	36
87	248	33
88	250	31
89	253	28
90	255	25
91	258	22
92	260	19
93	262	16
94	264	13
95	267	11
96	269	8
97	272	5
98	274	2
99	277	0
