iter	Passed	Remaining
0	145	145852
1	148	73994
2	151	50482
3	154	38419
4	157	31430
5	160	26547
6	162	23109
7	165	20543
8	168	18522
9	174	17312
10	179	16156
11	182	15054
12	185	14078
13	187	13190
14	191	12543
15	195	12002
16	197	11446
17	200	10958
18	203	10510
19	206	10124
20	209	9775
21	212	9449
22	214	9113
23	217	8856
24	220	8608
25	222	8344
26	225	8120
27	228	7927
28	231	7754
29	234	7575
30	237	7414
31	240	7262
32	242	7116
33	245	6988
34	248	6857
35	252	6764
36	255	6646
37	257	6523
38	260	6415
39	262	6309
40	265	6215
41	268	6113
42	271	6041
43	273	5949
44	282	5989
45	285	5923
46	290	5899
47	294	5833
48	297	5773
49	301	5725
50	304	5668
51	308	5620
52	312	5589
53	317	5556
54	321	5530
55	324	5478
56	329	5445
57	331	5391
58	335	5350
59	337	5291
60	341	5260
61	345	5223
62	348	5180
63	350	5130
64	353	5090
65	356	5045
66	359	5005
67	362	4965
68	364	4920
69	367	4879
70	369	4836
71	371	4794
72	374	4758
73	377	4724
74	379	4683
75	381	4643
76	384	4606
77	386	4569
78	399	4653
79	401	4613
80	405	4605
81	408	4572
82	409	4526
83	412	4497
84	416	4480
85	418	4446
86	421	4419
87	423	4388
88	426	4363
89	428	4335
90	431	4309
91	434	4290
92	436	4260
93	439	4237
94	441	4207
95	444	4181
96	447	4167
97	449	4140
98	451	4112
99	454	4086
100	455	4056
101	457	4029
102	460	4006
103	462	3980
104	465	3964
105	467	3945
106	470	3925
107	472	3906
108	475	3884
109	477	3862
110	479	3840
111	481	3818
112	484	3800
113	486	3780
114	488	3758
115	490	3740
116	492	3720
117	495	3706
118	498	3687
119	500	3666
120	502	3648
121	503	3625
122	505	3605
123	507	3586
124	509	3568
125	511	3548
126	512	3526
127	514	3508
128	517	3492
129	519	3474
130	521	3458
131	523	3440
132	525	3423
133	527	3406
134	529	3390
135	530	3372
136	532	3356
137	536	3350
138	538	3334
139	540	3319
140	542	3306
141	544	3288
142	546	3273
143	548	3259
144	550	3244
145	552	3231
146	554	3218
147	556	3205
148	559	3193
149	561	3182
150	563	3168
151	565	3157
152	568	3144
153	569	3130
154	571	3118
